epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.538,2.036,3.55682,1.37486,0.31043,0.56595,0.3896,0.2371,1.37401,2.33076,1.04211,0.000331111,0.000331111,0.000331111
2,578.279,1.39609,1.84227,1.0955,0.69117,0.6957,0.75403,0.4468,1.36359,1.58714,1.06315,0.000598664,0.000598664,0.000598664
3,775.072,1.28264,1.37389,1.06519,0.81264,0.81427,0.88281,0.6351,1.02416,1.12729,0.9853,0.000800218,0.000800218,0.000800218
4,969.803,1.16133,1.14213,1.03335,0.86172,0.83421,0.91758,0.61144,1.15154,1.01543,1.0191,0.000703,0.000703,0.000703
5,1163.64,1.08759,1.01055,1.01146,0.90973,0.88062,0.94604,0.68439,0.98641,0.84512,0.96739,0.000604,0.000604,0.000604
6,1365.75,1.06632,0.93224,1.00156,0.9063,0.87884,0.94849,0.71494,0.89865,0.80693,0.94886,0.000505,0.000505,0.000505
7,1565.4,1.03962,0.85832,0.99504,0.9345,0.90915,0.96088,0.71881,0.90654,0.74692,0.94425,0.000406,0.000406,0.000406
8,1839.36,1.01125,0.80504,0.97313,0.95597,0.92738,0.97044,0.74155,0.86387,0.67828,0.93449,0.000307,0.000307,0.000307
9,2151.24,0.95967,0.76259,0.97223,0.94776,0.93612,0.97566,0.76073,0.8099,0.63991,0.92293,0.000208,0.000208,0.000208
10,2341.51,0.91092,0.72418,0.95621,0.96195,0.93663,0.97763,0.74099,0.89654,0.63776,0.9393,0.000109,0.000109,0.000109
