epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.102,2.46968,4.29339,1.66142,0.1292,0.26991,0.12785,0.05013,1.88177,3.50635,1.21769,0.000331111,0.000331111,0.000331111
2,749.611,1.66026,2.56102,1.13244,0.15463,0.45491,0.12118,0.06867,1.57464,10.3872,1.17727,0.000598664,0.000598664,0.000598664
3,957.206,1.55698,2.08821,1.09955,0.30656,0.56978,0.32297,0.17353,1.50065,2.51998,1.0834,0.000800218,0.000800218,0.000800218
4,1526.25,1.44379,1.68386,1.074,0.66927,0.58028,0.63865,0.38033,1.39569,1.70185,1.1416,0.000703,0.000703,0.000703
5,1755.75,1.33993,1.37781,1.04245,0.78596,0.7622,0.83216,0.54396,1.16802,1.31973,0.98259,0.000604,0.000604,0.000604
6,1965.27,1.23247,1.19487,1.00083,0.84754,0.78997,0.87753,0.60546,1.06597,1.07395,0.94585,0.000505,0.000505,0.000505
7,2173.89,1.18911,1.07935,0.99041,0.89082,0.82221,0.90877,0.63426,1.06376,0.96006,0.95311,0.000406,0.000406,0.000406
8,2383.31,1.12978,0.98788,0.96387,0.88352,0.83681,0.91718,0.63591,1.05139,0.92876,0.94618,0.000307,0.000307,0.000307
9,2879.06,1.08264,0.93886,0.95902,0.89251,0.85768,0.93071,0.6908,0.93892,0.83834,0.92478,0.000208,0.000208,0.000208
10,3416.37,1.03832,0.88652,0.94715,0.92618,0.84832,0.9362,0.69218,0.961,0.80653,0.92997,0.000109,0.000109,0.000109
