epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.008,2.10029,3.49676,1.39571,0.45011,0.55738,0.44023,0.22447,1.53715,2.44439,1.0915,0.000331111,0.000331111,0.000331111
2,985.786,1.3615,1.8006,1.05611,0.57056,0.60059,0.58754,0.21319,2.21149,2.01441,1.33692,0.000598664,0.000598664,0.000598664
3,1117.26,1.28485,1.40799,1.03244,0.81655,0.78593,0.84211,0.39319,1.70096,1.39927,1.12913,0.000800218,0.000800218,0.000800218
4,1243.45,1.17612,1.16777,1.00666,0.87999,0.83968,0.91641,0.54912,1.31944,1.11416,1.03048,0.000703,0.000703,0.000703
5,1368.6,1.11081,1.03109,0.97796,0.92442,0.88089,0.94184,0.64547,1.12082,0.91625,0.97335,0.000604,0.000604,0.000604
6,1495.45,1.05122,0.93436,0.96762,0.91638,0.88578,0.95171,0.67234,1.02328,0.86394,0.94859,0.000505,0.000505,0.000505
7,1627.31,1.02095,0.87252,0.95657,0.93287,0.91644,0.96116,0.72898,0.88986,0.75739,0.92137,0.000406,0.000406,0.000406
8,1760.44,0.98026,0.82215,0.94442,0.92803,0.9339,0.96524,0.67188,1.05446,0.74763,0.94747,0.000307,0.000307,0.000307
9,1894.67,0.92773,0.767,0.92882,0.94583,0.92344,0.96669,0.73355,0.86422,0.69503,0.90496,0.000208,0.000208,0.000208
10,2026.69,0.90849,0.72778,0.92281,0.95248,0.94061,0.97547,0.74181,0.86996,0.66225,0.90389,0.000109,0.000109,0.000109
